iter	Passed	Remaining
0	25	2542
1	32	1606
2	39	1266
3	47	1140
4	57	1085
5	64	1004
6	69	927
7	77	885
8	83	843
9	89	802
10	96	777
11	101	744
12	107	722
13	114	702
14	119	678
15	126	664
16	132	644
17	137	627
18	144	617
19	149	598
20	156	589
21	162	575
22	167	561
23	174	551
24	179	538
25	185	527
26	192	520
27	198	509
28	205	502
29	211	493
30	216	482
31	223	474
32	228	463
33	234	455
34	240	446
35	245	437
36	252	430
37	258	422
38	264	412
39	270	405
40	275	395
41	280	387
42	287	380
43	292	372
44	298	364
45	304	357
46	310	350
47	317	343
48	322	336
49	328	328
50	334	321
51	339	313
52	345	305
53	351	299
54	356	291
55	363	285
56	368	278
57	374	271
58	381	265
59	387	258
60	393	251
61	399	245
62	405	238
63	412	231
64	417	224
65	422	217
66	429	211
67	435	204
68	442	198
69	448	192
70	453	185
71	460	179
72	465	172
73	471	165
74	478	159
75	483	152
76	489	146
77	495	139
78	500	133
79	508	127
80	513	120
81	517	113
82	523	107
83	529	100
84	534	94
85	541	88
86	545	81
87	551	75
88	558	69
89	564	62
90	572	56
91	577	50
92	582	43
93	588	37
94	593	31
95	599	24
96	606	18
97	611	12
98	618	6
99	623	0
